text	public_metrics	created_at	Google_Translation	@	places	village	district	region
"@asmU11 @SolidMali @SaadickH ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:22:19.000Z	@ asmU11 @SolidMali @SaadickH don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@asmU11', '@SolidMali', '@SaadickH']	[]	[]	[]	[]
"@SuldanMohamed_ @SolidMali ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:21:47.000Z	@SuldanMohamed_ @SolidMali don&#39;t die for more. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@SuldanMohamed_', '@SolidMali']	[]	[]	[]	[]
"@SoolPressHerald @SolidMali ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:21:37.000Z	@SoolPressHerald @SolidMali don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@SoolPressHerald', '@SolidMali']	[]	[]	[]	[]
"@jacksonhinklle @SolidMali ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:21:14.000Z	@jacksonhinklle @SolidMali is not dead. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@jacksonhinklle', '@SolidMali']	[]	[]	[]	[]
"@SuldanMohamed_ @SolidMali @TheVillaSomalia ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}	2022-04-05T10:21:04.000Z	@SuldanMohamed_ @SolidMali @TheVillaSomalia is not dead yet. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@SuldanMohamed_', '@SolidMali', '@TheVillaSomalia']	[]	[]	[]	[]
"@AbdiFar11789166 @Layloon6 @SolidMali @Eslanderkow @US2SOMALIA @TheHALOTrust ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:20:37.000Z	@ AbdiFar11789166 @ Layloon6 @SolidMali @Eslanderkow @ US2SOMALIA @TheHALOTrust don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@AbdiFar11789166', '@Layloon6', '@SolidMali', '@Eslanderkow', '@US2SOMALIA', '@TheHALOTrust']	[]	[]	[]	[]
"@Layloon6 @SolidMali @Eslanderkow @US2SOMALIA @TheHALOTrust ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:20:08.000Z	@ Layloon6 @SolidMali @Eslanderkow @ US2SOMALIA @TheHALOTrust don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@Layloon6', '@SolidMali', '@Eslanderkow', '@US2SOMALIA', '@TheHALOTrust']	[]	[]	[]	[]
"@SolidMali @Eslanderkow @US2SOMALIA @TheHALOTrust ma dhintow siyaadii
aabow ha dhicintii, dhagdhagtii iyo mashxaradii miyaa geeso dhiigliyo dhugcas lagu sagootiyey! wuu dhacay Siyaad wuu dhintay isaga oo qaxooti sidii Ina Abdille xasan qaxootinimo ugu dhintay ahahaaa"	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T10:19:35.000Z	@SolidMali @Eslanderkow @ US2SOMALIA @TheHALOTrust don&#39;t die too much. Father Siyad died as a refugee as Abdille Hassan died as a refugee	['@SolidMali', '@Eslanderkow', '@US2SOMALIA', '@TheHALOTrust']	[]	[]	[]	[]
@SuleimanHashi Nin yahoow adiga ma soonid miyaa? Dhibka Farmaajo dalka ku haayo miyaad ku raaxeysataa? Waxaa ka awood badnaa kana ciidamo badnaa Siyaad Barre wixii u danbeeyayna waad ogeed in uu ku dhintay isagoo qaxooti ah. Farmaajo sidaa ayaa sugeeysa .	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T09:18:06.000Z	@SuleimanHashi Man, are you not fasting? Do you enjoy Farmajo&#39;s troubles in the country? He was more powerful and more powerful than Siad Barre and you know the last time he died as a refugee. Farmajo is waiting.	['@SuleimanHashi']	[]	[]	[]	[]
@AbdikarinBundi1 Oo Maxaa meesha keenay Xeeroyin iyo Qaxooti Keenya?	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T06:21:25.000Z	@ AbdikarinBundi1 And what brought the camps and refugees to Kenya?	['@AbdikarinBundi1']	['Kenya']	[]	[]	[]
@OneWadani Waa maxay xaqaad ka hadlayso. Aaway kuwii ummadda laayey, madaafiicda Xamar ku asqeeyey, aaway kuwii ardaydii Jaamacadda jiidaha dagaalka ku dhameeyey. Aaway kii booli quutaha ahaa. Waligaase ma tagtay Xerooyinka Qaxootiga Kenya? Mase ka ogtahay  600,000 qaxooti Somalida ah.	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T06:17:35.000Z	@OneWadani What are you talking about right? Where are the ones who killed the nation, the artillery shells fired in Mogadishu, where are the university graduates on the battlefield. Where is the plunderer? Have you ever been to a Kenyan refugee camp? Do you know about 600,000 Somali refugees?	['@OneWadani']	[]	['Mogadishu']	['Banadir']	['Banadir']
"@SomaliPM Asc Wr Wb Axbaabi fillah 31sano ayaan xero qaxooti oogu jiraa Dan Shaqsiyadeed ee nootura Illaahayna kabaqa 
KULUKUM RAACII WA KULUKUM MAS'ULIN CAN RAACIYATIHI"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T02:07:56.000Z	@SomaliPM Asc Wr Wb Friends I have been in a refugee camp for 31 years for personal gain and fear of God. EVERY DAY IS A DAY OF RESPONSIBILITY	['@SomaliPM']	[]	[]	[]	[]
Barnaamij Gaar ah oo ku saabsan Xaaladda ay ku soomayaan Barakacayaasha ku nool Dhoobley https://t.co/nfhdHRsnLx via @Radio Sanguuni	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	2022-04-04T18:06:46.000Z	Special Program on the Situation of IDPs in Dhobley https://t.co/nfhdHRsnLx via @Radio Sanguni	['@Radio']	['Dhobley']	['Dhobley', 'Sunguuni']	['Afmadow', 'Jamaame']	['Lower Juba']
Nin guri u iibiyay qoys qaxooti ah oo ka soo barakacay Ukraine. https://t.co/8i55nwtWLN https://t.co/62doD0ukaA	{'retweet_count': 0, 'reply_count': 2, 'like_count': 8, 'quote_count': 0}	2022-04-03T14:25:54.000Z	A man sells a house to a refugee family displaced from Ukraine. https://t.co/8i55nwtWLN https://t.co/62doD0ukaA	[]	['Ukraine']	[]	[]	[]
Xafladda daahfurka mashruuca horumarinta nidaamyada ilaalinta caruurta barakacayaasha, waxaa qayb ka ah shaqaalaysiinta tiro ka mid ah ardaydii baranayey cilmiga adeegga bulshada ( Social Work) ee Jaamacada EAU. Shirkaan waxaa goobjoog ahaa G. Ku xigeenka @eaugrw Dr. @Bindiiriye1 https://t.co/G6AtcVD28H	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T13:34:19.000Z	At the launch of the IDP child protection systems development project, a number of Social Work students are being recruited. at EAU University. The meeting was attended by G. Vice President @eaugrw Dr. @ Bindiiriye1 https://t.co/G6AtcVD28H	['@eaugrw', '@Bindiiriye1']	[]	[]	[]	[]
Hooyo, Maryama Cusmaan, oo ka mid ah, barakacayaasha ku nool duleedka Muqdisho, waxay weeydiisaneysaa walaalaha Soomaaliyeed, inay ka caawiyaan Afurka, iyo jiifka oo ay dhulka seexato ayada iyo carruurteeda https://t.co/EW8w4hRgzB	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T08:58:13.000Z	A mother, Maryam Osman, one of the IDPs living on the outskirts of Mogadishu, is asking her Somali brothers and sisters to help her in Africa, and to sleep on the floor with her children https://t.co/EW8w4hRgzB	[]	['Mogadishu', 'Africa']	['Mogadishu']	['Banadir']	['Banadir']
"Caawinta Barakacayaasha Soomaaliya iyo Afurintoonta.
#Safarkii_Samafalka #BaazimHassan https://t.co/0Fhx8AkkQ3"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	2022-04-03T08:21:15.000Z	Helping IDPs in Somalia and Iftar .. #Safarki_Safalka #BaazimHassan https://t.co/0Fhx8AkkQ3	[]	['Somalia']	[]	[]	[]
Norway/ Tromsø: Nin lagu soo eedeeyey in gabar aan qaangaarin oo qaxooti Ukraine ah kufsi u geystay, sidoo kalena ka faaideystay baahideeda. https://t.co/SORfgvttkx	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T19:58:56.000Z	Norway / Tromsø: A man accused of raping a minor Ukrainian refugee and taking advantage of her needs. https://t.co/SORfgvttkx	[]	['Norway']	[]	[]	[]
@Deeqa_lulu Deeqaland ma qaabila  qaxooti?	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-02T18:21:44.000Z	@Deeqa_lulu Does Deeqaland accept refugees?	['@Deeqa_lulu']	[]	[]	[]	[]
BAAHIDA DANDARADA BARAKACAYAASHA KGS  IYO RAMADAANKA - LAFTAGAREEN WAX M... https://t.co/Wl60uM7gb9 via @YouTube	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T17:04:09.000Z	KGS AND RAMADAN DISPLACEMENT NEEDS	['@YouTube']	[]	[]	[]	[]
"@M_Farmaajo kursi la isku dhejiyo dhibaatada ka dhalan karta waad og tahay, keli Taliye Afweyne ayey Somali xoog iskaga dul qaaday, isaga oo Nigeria Qaxooti ku ah ayuu sii lahaa ""Madaxweyne ayaan ahay"" adna 4 sano waa kuu dhamaatay 7dii Feb 2021-kii, waqtigaada waa dhamaaday https://t.co/vZGdD9ZqWy https://t.co/SE3Wp2puVw"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T12:20:32.000Z	@M_Farmaajo a seat in a crisis you know the consequences, you know, only dictator Afweyne forcibly took over Somalia, as a refugee in Nigeria he kept saying &quot;I am president&quot; and 4 years are over for you 7 Feb 2021, Your time is up https://t.co/vZGdD9ZqWy https://t.co/SE3Wp2puVw	['@M_Farmaajo']	['Somalia', 'Nigeria']	['Afweyne']	['Xudun']	['Sool']
Dowladda Poland oo xabsiga ka sii deysay boqollaal xaqooti Soomaali ah Qatar kamid ah qaxooti Soomaaliyeed oo muddo bilooyin ah ku xirnaa xabsiyo ku yaala Poland ayaa sheegay in hadda loo ogolaaday xero qaxooti oo muddo sadex bilood ah ay ku jiri doonaan. https://t.co/dmdA6rfV8l	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T07:22:36.000Z	The Polish government has released hundreds of Somali refugees from Qatar. https://t.co/dmdA6rfV8l	[]	['Qatar']	[]	[]	[]
"@FahimaIsaq SomaliLand waxaan baa u danbeesay!!!

Waxay leedahay “Get Out of My Country”

Qaxooti nimo bey kusoo gashay hadana waxay sheeganayaan wadan aabaheeda iyo hooyadeeda ay u dhalan…

Naarta baykusocdaan Allah ha soo hanuuniyo!!!

Waan u ducayneynaa oo keliya… Waa reer SomaliLand…!"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-01T23:32:57.000Z	@FahimaIsaq SomaliLand I am the last !!! . It says Get Out of My Country. . She came in as a refugee and now they are claiming a country where her father and mother were born…. . May Allah guide you to hell !!! . We are only praying for… They are SomaliLand…!	['@FahimaIsaq']	[]	[]	[]	[]
@AbdiwahabSheik7 Africanka ayaga dhamaantood ineey qaxooti noqdaan miyeey rabaan.	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-01T13:12:25.000Z	@ AbdiwahabSheik7 Do all Africans want to be refugees?	['@AbdiwahabSheik7']	[]	[]	[]	[]
"@MohamedSelh Adeer rag baa qurxiyay magaalkii say waxay rabaa canshuur quruxdaas laga helay ineey been been ku cunaan ayagoo waligood qaxooti ahaa 
Cajaaib shiiwoow!
Walee xisaab ayaa bilaabantay!!"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-03-31T20:55:13.000Z	@MohamedSelh Uncle men have beautified the city so they want a tax on that beauty found to lie falsely they have always been refugees. Amazing shiiwoow !. But math has started !!	['@MohamedSelh']	[]	[]	[]	[]
@HShPrez2Ware @TheVillaSomalia @MohamedHRoble 30 Sanaa soo marnay saan ka xun🇸🇴….Waligaa Xiro Qaxooti ma soo aragtay? @PresidentMadobe	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-03-31T15:23:11.000Z	@ HShPrez2Ware @TheVillaSomalia @MohamedHRoble 30 years ago ka… Have you ever seen a refugee camp? @PresidentMadobe	['@HShPrez2Ware', '@TheVillaSomalia', '@MohamedHRoble', '@PresidentMadobe']	[]	[]	[]	[]
Qaar ka mid ah Barakacayaasha Magaalada Baydhabo Oo Codsaday in Gar-gaar lala soo gaaro https://t.co/F3GPwNbNZA via @Radio Arlaadi	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-03-31T05:55:01.000Z	Some IDPs in Baidoa call for help https://t.co/F3GPwNbNZA via @Radio Arlaadi	['@Radio']	['Baidoa']	['Baidoa']	['Baydhaba']	['Bay']
@fadumaSuni Qaxooti bee u egtahay meesha😧….Allow Somali u hiili	{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}	2022-03-31T05:27:49.000Z	@fadumaSuni A refugee bee looks like this 😧 A .Allow Somali u hiili	['@fadumaSuni']	[]	[]	[]	[]
"Has the show explained why this ""Somali genius"" couldn't make Somali great again and ended up becoming a refugee in a country full of ""narrow minded and complacent"" Swedes? https://t.co/rERT73CuwG"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T23:59:57.000Z		[]	[]	[]	[]	[]
@CNN now cover the lives of all the displaced Iraqi, Yemeni and Somali people	{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}	2022-04-05T19:18:37.000Z		['@CNN']	['Iraqi', 'Yemeni']	[]	[]	[]
Has anyone any resources for translating English to Somali? I’ve an Ethiopian refugee kid in my piano class and we’re communicating through music so far but he hasn’t a word of English and Google Translate doesn’t have Somali pronunciations so I’ve no idea how to pronounce it!	{'retweet_count': 5, 'reply_count': 2, 'like_count': 7, 'quote_count': 0}	2022-04-05T18:09:53.000Z		[]	[]	[]	[]	[]
@AbdisalamAato @RAbdiAnalyst Somalis are used to hogwash commentary of dabadilifs. Believe you me no Somali will ever be a refugee again. Thanks to @TheVillaSomalia @HSNQ_NISA we can proudly protect our own including chief traitor @MohamedHRoble . Alhamdullah.@AbdiwahabSheik7 @SomPundit @kingofSomaliaa	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T08:12:26.000Z		['@AbdisalamAato', '@RAbdiAnalyst', '@TheVillaSomalia', '@HSNQ_NISA', '@MohamedHRoble', '@AbdiwahabSheik7', '@SomPundit', '@kingofSomaliaa']	[]	[]	[]	[]
###save Somalia from @MohamedHRoble . Every peace loving Somali should spread this message!!!  Afew days ago Ukraine was  a full nation, prosperous and developed! Now its a refugee nation. Reality of war! Just one person's ego destroyed a whole nation.@kingofSomaliaa @SomPundit	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T07:41:58.000Z		['@MohamedHRoble', '@kingofSomaliaa', '@SomPundit']	['Somalia']	[]	[]	[]
New Swedish TV show about ”Somali genius.” The “narrow minded and complacent” Swede almost deported this poor refugee before realizing that this “new Swede” from Somalia is a crime-solving genius. Better than anyone one else they know. https://t.co/RDhEzXXnvr	{'retweet_count': 44, 'reply_count': 38, 'like_count': 255, 'quote_count': 13}	2022-04-05T04:34:05.000Z		[]	['Somalia']	[]	[]	[]
@HakeemFarah5 @thebhlub @musebiihi Obviously, would SL just accept SSC to breakaway? Why do you expect Somalia to just roll over and listen to a minority? Also a Somali can’t be a refugee in their own land, it’s sound so silly, a lot of SL people live in the south in their country Somalia same goes up north	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T20:32:46.000Z		['@HakeemFarah5', '@thebhlub', '@musebiihi']	[]	[]	[]	[]
I talk a lot of shit but I love Canada. The state invested millions into the somali refugee community and uplifted so many of us out of poverty.If it wasnt for universal healthcare, my siblings and I would have lost both parents before I was 9. And the schools we attended were A+	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T20:07:38.000Z		[]	['Canada']	[]	[]	[]
Students of Somali National University donated a packages of #Iftar  food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. #Ramadan https://t.co/nmubhvS7nC	{'retweet_count': 16, 'reply_count': 4, 'like_count': 79, 'quote_count': 0}	2022-04-04T18:26:58.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
"Students of Somali National University (SNU) donated packages of #Iftar food to vulnerable families living the IDP camps in the Somali capital, Mogadishu. 

#Somalia https://t.co/jn0bBqfQZl"	{'retweet_count': 5, 'reply_count': 0, 'like_count': 38, 'quote_count': 1}	2022-04-04T15:40:12.000Z		[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
Students of Somali National University donated packages of #Iftar food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. #Ramadan https://t.co/sgiazkGW1L	{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	2022-04-04T15:09:58.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
Somali National University students have on Monday donated packages of #Iftar food to vulnerable families living in IDP camps in the capital #Mogadishu #Somalia. #Ramadan https://t.co/H4F5jO64YL	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T15:04:45.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
Students of Somali National University donated a packages of #Iftar  food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. #Ramadan https://t.co/l5fjvKJmOs	{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	2022-04-04T13:40:24.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
Students of Somali National University donated a packages of #Iftar food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. #Ramadan https://t.co/ZCTEzFYked	{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}	2022-04-04T13:39:25.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
Somali National University's Students donated a packages of #Iftar food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. https://t.co/jowAfQpd0M	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T13:39:09.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
Students of Somali National University donated a packages of #Iftar food to vulnerable families living the  IDP camps in #Mogadishu #Somalia. #Ramadan https://t.co/bl4POPg7tB	{'retweet_count': 15, 'reply_count': 3, 'like_count': 111, 'quote_count': 2}	2022-04-04T13:36:59.000Z		[]	['Somalia']	['Mogadishu']	['Banadir']	['Banadir']
#RamadanMubarak to Muslim refugees around the world. (Somali refugee women &amp; kids enjoying #iftar in Amman, Jordan.) #GreaterAs1 #Refugees #Welcome https://t.co/tWB5RI2ARW	{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}	2022-04-04T11:45:53.000Z		[]	[]	[]	[]	[]
"ILO's Financial management training continues to make waves🌊in Ethiopia 

12 national trainers &amp; 130 host &amp; refugee #SME owners from Addis and Somali regions, now equipped with the knowledge to access, record &amp; manage their finances, hope to strengthen their businesses further https://t.co/lNSPH1t13t"	{'retweet_count': 6, 'reply_count': 0, 'like_count': 20, 'quote_count': 0}	2022-04-04T07:25:55.000Z		[]	['Ethiopia']	[]	[]	[]
"@lhammondsoas ^^^ The SNM began massacres 250 people refugees, later killed 20k innocent people in Refugee  camps, then Somali National Army responded. 

SNM were terrorist group based  in Northern Somalia, who ever supported them are another terrorist. https://t.co/O7R9edVPL4"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T01:39:08.000Z		['@lhammondsoas']	[]	[]	[]	[]
