text	created_at	public_metrics	Google_Translation	@	village	region	district
"Dabkii abaaro xalay 8:00 pm ka bilaabmay suuqa weyn ee magaalada Hargeysa oo goor dhawayd ciidamada Dab-demisku soo gebagabeeyeen. @SLfireservice 

@SagalAshour @JamaMusse @Gobannimo https://t.co/by2EhGSEmF"	2022-04-02T09:24:40.000Z	{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}	The fire that started at 8:00 pm last night in the main market of Hargeisa has recently been put out by the fire brigade. @SLfireservice. . @SagalAshour @JamaMusse @Gobannimo https://t.co/by2EhGSEmF	['@SLfireservice', '@SagalAshour', '@JamaMusse', '@Gobannimo']	['Hargeysa']	['Woqooyi Galbeed', 'Middle Juba']	['Hargeysa', 'Jilib']
"Alxamdulleh Alxamdulleh, Dabkii xalay abaaro 8:30 fiidnimo bilaabmay, ayaa hadda Ciidanka Damdamisku ku guulaysteen in ay soo afjaraan, dhaman shacabka iyo Dawladba looma kale hadhin.
#HargeisaFire
#PrayForHargeisa"	2022-04-02T09:11:37.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	Praise be to Allaah. The fire that started last night at about 8:30 pm, has now been extinguished by the Fire Brigade, leaving no one to the people and the government. #HargeisaFire. #PrayForHargeisa	[]	[]	[]	[]
RT @liibaan_bulle: Gobolka Mudug saakay waxaa ka curtay roobkii Gu'ga, kaddib abaaro saamayn ku yeeshay dadkii iyo duunyadii kuu noolaa gob…	2022-04-02T04:12:19.000Z	{'retweet_count': 24, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	RT @liibaan_bulle: The Gu rains started in Mudug region this morning, following a drought that affected people and animals living in the region…	['@liibaan_bulle:']	[]	['Mudug']	[]
RT @Mursalkhaliif: Kursi jaceylka @M_Farmaajo waxaa uu keenay dhib badan oo naf iyo maalba lagu waayay, haddana dhib kale oo uu soo wado ay…	2022-04-01T23:40:22.000Z	{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	RT @Mursalkhaliif: The love affair with @M_Farmaajo has caused a lot of loss of life and property, and yet another problem is coming…	['@Mursalkhaliif:', '@M_Farmaajo']	[]	[]	[]
Ilahay ha u gargaaro hargeisa. Suuqa ugu weyn hargeisa ee waaheen oo dab xoogleh qabsadey abaaro fiidkii cawa oo ilaa hadda belbelaya. https://t.co/onA2IKIih3	2022-04-01T19:21:09.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	May God help Hargeisa. Hargeisa&#39;s main market, Waaheen, has been hit by a devastating drought since last night. https://t.co/onA2IKIih3	[]	['Hargeysa']	['Woqooyi Galbeed', 'Middle Juba']	['Hargeysa', 'Jilib']
Rooble si shacabka looga jeediyo 16 ka kursi ee dhiman iyo inuu sii joogo xukunka ayuu mashruuc marin habaabin ah soo tuuray lakiin waa inaa Axmed Madoobe ku amartaa inuu qabto dorashada amni iyo abaaro labadaba wey dhamaadeen dorashada dhameystir https://t.co/rqAFUx3Kgs	2022-04-01T07:25:56.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Roble has thrown a misleading project to distract the public from the remaining 16 seats and keep them in power but Ahmed Madobe must be ordered to hold elections both security and drought are over https://t.co/rqAFUx3Kgs	[]	[]	[]	[]
Dhib,cadaalad daro, abaaro, colaado, hoggaan fashilmay, dhac, kufsi,boob kheyraad, hore u socod la’aan waxa ay rajo beyl ku ridaan shacabka. Weli ma arag siyaasi hididiilo horumarineyd leh? https://t.co/nqenL6FwNy	2022-03-31T16:37:56.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Harassment, injustice, drought, conflict, failed leadership, robbery, rape, plunder of resources, lack of progress lead to despair for the people. Haven&#39;t you seen a politician with development ambitions yet? https://t.co/nqenL6FwNy	[]	[]	[]	[]
@sntvnews1 @MohamedHRoble waa dad han yar oo aan garanayn siyaasada iyo meesha laga abaaro, kelya waxay ka yaqaanaan kiiska ikran iyo kiiska amina taas oo aad moodo carruur yooyootan ku jirta. immisa qof ayaa dhimatay , maxaa keenay in hal babar loo baroordiiqo ,kuwa kale sow soomaali maaha ee la dhintay?	2022-03-31T15:24:01.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ sntvnews1 @MohamedHRoble They are a small group of people who do not know politics and where to go, they only know about the Iran case and the Amina case which looks like children. How many people died, why did one mourn, and the others are not Somalis who died?	['@sntvnews1', '@MohamedHRoble']	[]	[]	[]
@sntvnews1 Doorasho lama rabaa warkale mahaysaan amni iyo abaaro	2022-03-31T14:51:07.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ sntvnews1 No elections, no news, no security and no drought	['@sntvnews1']	[]	[]	[]
RT @liibaanxirsi: Somalia suffering worst drought in decades https://t.co/7O2YRQWzc0 via @YouTube	2022-04-04T11:47:45.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@liibaanxirsi:', '@YouTube']	[]	[]	[]
RT @FAOSomalia: Our Representative @EPeterschmitt talked with @AJEnglish about the deteriorating drought situation in Somalia, and how the…	2022-04-04T11:46:51.000Z	{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@FAOSomalia:', '@EPeterschmitt', '@AJEnglish']	[]	[]	[]
RT @FAOSomalia: Our Representative @EPeterschmitt talked with @AJEnglish about the deteriorating drought situation in Somalia, and how the…	2022-04-04T11:34:25.000Z	{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@FAOSomalia:', '@EPeterschmitt', '@AJEnglish']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T11:31:26.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
"Our Representative @EPeterschmitt talked with @AJEnglish about the deteriorating drought situation in Somalia, and how the increasing frequency of climatic shocks are making it harder for rural communities to rebuild from drought. #ClimateEmergency

Watch: https://t.co/XHjo9rQj4I https://t.co/Su1gk0OGuD"	2022-04-04T11:29:33.000Z	{'retweet_count': 11, 'reply_count': 0, 'like_count': 15, 'quote_count': 1}		['@EPeterschmitt', '@AJEnglish']	[]	[]	[]
Somalia suffering worst drought in decades https://t.co/7O2YRQWzc0 via @YouTube	2022-04-04T11:23:42.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@YouTube']	[]	[]	[]
RT @EulogeIshimwe: “Some fear that the continued drought in East Africa could come to resemble the one in 2011, which killed about 260,000…	2022-04-04T11:19:00.000Z	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@EulogeIshimwe:']	[]	[]	[]
https://t.co/wzn7Ikd2SA	2022-04-04T11:03:53.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
In a time of drought, is installing more water wells/pumps useful? I'm seeing influencer-driven charities promoting this in Somalia and wonder what assessment they've done here. After repeated failed rains, does it help or just exhaust groundwater supplies?	2022-04-04T11:00:32.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}		[]	['Heere']	['Togdheer']	['Burco']
RT @OCHASom: ℹ️ Between 13-26 March 2022, #droughtinsomalia displaced nearly 15K people, which is a 65% decrease from the previous two week…	2022-04-04T10:54:21.000Z	{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@OCHASom:']	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T10:38:04.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T10:35:25.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
RT @WaterAgg: Catastrophic drought in Somalia (video) https://t.co/IBZar9VE7A	2022-04-04T10:25:48.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@WaterAgg:']	[]	[]	[]
Catastrophic drought in Somalia (video) https://t.co/IBZar9VE7A	2022-04-04T10:17:01.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}		[]	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T10:01:21.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
RT @SarahNiRoibin: 'Some fear that the continued drought in East Africa could come to resemble the one in 2011, which killed about 260,000…	2022-04-04T09:54:53.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@SarahNiRoibin:']	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T09:54:45.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
@Talliye @BigCigaal @herewhatwhy The government in Somalia gave the same amount as the government in hargeisa and the government in hargeisa is following that up with more. You bring up the drought while Somalia upheld $80 million worth of aid for Somaliland during drought ? Disgusting langaab	2022-04-04T09:54:23.000Z	{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}		['@Talliye', '@BigCigaal', '@herewhatwhy']	['Hargeysa']	['Woqooyi Galbeed', 'Middle Juba']	['Hargeysa', 'Jilib']
@AbdiJeeni #Somalia's government are delusional. They think we believe their crocodile tears. They politicised international aid intended for #SLnd and with-held even when we needed it for the drought.	2022-04-04T09:46:57.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}		['@AbdiJeeni']	[]	[]	[]
RT @EulogeIshimwe: “Some fear that the continued drought in East Africa could come to resemble the one in 2011, which killed about 260,000…	2022-04-04T09:37:33.000Z	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@EulogeIshimwe:']	[]	[]	[]
@wondesen_a There is a humanitarian situation all over Ethiopia, not just Tigray region. in Somalia region they are experiencing drought and famine. Stop whining and tell your leaders to stop committing atrocities against Amhara and Afar civilians.	2022-04-04T09:31:23.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}		['@wondesen_a']	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T09:30:03.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
RT @EulogeIshimwe: “Some fear that the continued drought in East Africa could come to resemble the one in 2011, which killed about 260,000…	2022-04-04T09:29:13.000Z	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@EulogeIshimwe:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T09:16:25.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
"“Some fear that the continued drought in East Africa could come to resemble the one in 2011, which killed about 260,000 people in Somalia alone.” 

Thanks ⁦@Lattif⁩ @NYTimes for raising alarm over this disaster that is unfolding almost unnoticed. https://t.co/DjsUK71L7R"	2022-04-04T08:55:43.000Z	{'retweet_count': 6, 'reply_count': 0, 'like_count': 14, 'quote_count': 0}		['@Lattif\u2069', '@NYTimes']	[]	[]	[]
RT @thatFay_: Charity is a central tenet of Islam: everything one has belongs to Allah and therefore a Muslim is obliged to share wealth wi…	2022-04-04T08:25:48.000Z	{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@thatFay_:']	[]	[]	[]
"The IRC has pledged a further five million dollars to bolster drought response efforts in East Africa. The humanitarian organisation warns that gaps in funding could leave 25 million people in #Ethiopia, #Somalia and #Kenya at risk of ""extreme hunger"".  https://t.co/XYwdAokFU4 https://t.co/HcqNjX74Pl"	2022-04-04T08:25:01.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
As the holy month of Ramadan observed by Muslims across the world starts, #Somalia is facing its most severe #drought in the last decade. The ICRC is responding to the urgent needs of population including detainees. See  more  here👇 https://t.co/D0qzaumwAE	2022-04-04T08:05:57.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T07:34:03.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T07:32:01.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T07:29:24.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T07:28:08.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
Thomas Solomon: 4.5 Million People Affected by drought in Somalia , flee from their homes to access basic necessities elsewhere. ➡️https://t.co/1t2E8gqMKi https://t.co/y8Q3p4Gvoc	2022-04-04T07:04:45.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}		[]	[]	[]	[]
RT @OCHASom: ℹ️ Between 13-26 March 2022, #droughtinsomalia displaced nearly 15K people, which is a 65% decrease from the previous two week…	2022-04-04T06:25:37.000Z	{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@OCHASom:']	[]	[]	[]
RT @mathtimms: Somalia suffering severe drought causing critical food shortage.(Aljazeera) 03/4/22...	2022-04-04T06:13:16.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@mathtimms:']	[]	[]	[]
RT @guardian: ‘There is not enough food. The situation is dire’: Somalia’s drought crisis – in pictures https://t.co/mmfNV0p2It	2022-04-04T06:08:30.000Z	{'retweet_count': 69, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@guardian:']	[]	[]	[]
RT @guardian: ‘There is not enough food. The situation is dire’: Somalia’s drought crisis – in pictures https://t.co/mmfNV0p2It	2022-04-04T06:07:39.000Z	{'retweet_count': 69, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@guardian:']	[]	[]	[]
"RT @dheeeray: Ramadan Kareem everyone 💕
I'm fundraising to provide food packs for families affected by the current drought in Somalia.
Pls…"	2022-04-04T06:00:06.000Z	{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@dheeeray:']	[]	[]	[]
Growing Risk of Famine, As Drought Impact Worsens https://t.co/nenUDCR5rv #AlAfricaNews #Somalia	2022-04-04T05:55:04.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
RT @BanglaViral: Somalia suffering worst drought in decades https://t.co/9NvkZxQ91x	2022-04-04T05:12:52.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@BanglaViral:']	[]	[]	[]
RT @BanglaViral: Somalia suffering worst drought in decades https://t.co/9NvkZxQ91x	2022-04-04T04:51:40.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@BanglaViral:']	[]	[]	[]
Somalia suffering worst drought in decades https://t.co/9NvkZxQ91x	2022-04-04T04:42:12.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}		[]	[]	[]	[]
@2012_DrAli @AQA298 @kasim_wise @TheVillaSomalia How about you give it to people in Gedo or in other drought stricken areas in Somalia? We won’t take lacag from people with ill intentions. This money could have been used to help desperate people across Somalia.	2022-04-04T03:58:31.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}		['@2012_DrAli', '@AQA298', '@kasim_wise', '@TheVillaSomalia']	[]	['Gedo']	[]
RT @UNSOS_: The present drought in #Somalia has wiped out crop harvests and livestock, depriving many pastoral communities of their means o…	2022-04-04T03:50:02.000Z	{'retweet_count': 42, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@UNSOS_:']	[]	[]	[]
RT @arsenalcode: Conflicts in South Sudan, CAR, Somalia, Ethiopia, the Sahel region, northern Mozambique, eastern DR Congo...Famine in the…	2022-04-04T03:38:10.000Z	{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@arsenalcode:']	[]	[]	[]
@JoeBiden aye if any country needs 16 billion dollars it’s Somalia 🇸🇴 it’s a drought over there during the holy month of Ramadan	2022-04-04T03:32:10.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@JoeBiden']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T03:21:21.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T03:13:30.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
"RT @insani_yard: “Of all the droughts I have experienced in my 70 years, I have not seen anything as severe as this,”

Yarow is one of hund…"	2022-04-04T02:47:52.000Z	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@insani_yard:']	[]	[]	[]
RT @insani_yard: 25 million people in #Ethiopia, #Somalia and #Kenya may face extreme hunger in the next three months as a result of severe…	2022-04-04T02:46:47.000Z	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@insani_yard:']	[]	[]	[]
RT @arsenalcode: Conflicts in South Sudan, CAR, Somalia, Ethiopia, the Sahel region, northern Mozambique, eastern DR Congo...Famine in the…	2022-04-04T02:19:38.000Z	{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@arsenalcode:']	[]	[]	[]
Somalia suffering worst drought in decades https://t.co/yQ2mGX0g95	2022-04-04T01:17:20.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
"RT @antonioguterres: The people of Somalia are facing the most severe drought in 40 years.

Last month, humanitarians helped 1.6 million pe…"	2022-04-04T01:10:32.000Z	{'retweet_count': 692, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@antonioguterres:']	[]	[]	[]
RT @joostbastmeijer: Somalia is experiencing its worst drought in 40 years. For 8 days, I traveled through the country for Dutch and intern…	2022-04-04T01:07:49.000Z	{'retweet_count': 230, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@joostbastmeijer:']	[]	[]	[]
"RT @WorldBankWater: In #Somalia, women &amp; girls in #drought situations are at increased risk of malnutrition, violence &amp; loss of income.

Fi…"	2022-04-04T00:52:51.000Z	{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@WorldBankWater:']	[]	[]	[]
"13million people face extreme #food &amp; #water shortages across East #Africa
25million people in #Ethiopia,#Somalia,#Kenya may face extreme #hunger in next 3 months due to worst #drought in 40years.
Humans, this needs ur urgent support; each life is precious, no matter where https://t.co/LBT27h70Tx"	2022-04-04T00:44:25.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}		[]	[]	[]	[]
@fatheyayallas It is about the dignity of Somaliland and Somalilanders. That money was intentionally withheld to choke Somaliland. Somalia had no plans for it to be released as part of drought relief efforts. But Hargeisa burns down and all of sudden they care? Please tell me something else	2022-04-04T00:25:51.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}		['@fatheyayallas']	['Hargeysa']	['Woqooyi Galbeed', 'Middle Juba']	['Hargeysa', 'Jilib']
"Somalia suffering worst drought in decades
https://t.co/K1285flpZn"	2022-04-04T00:21:51.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
Somalia suffering worst drought in decades https://t.co/707J30YWEj via @YouTube	2022-04-03T23:48:54.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		['@YouTube']	[]	[]	[]
I’m praying you see this post and donate to Somalia. The 2022 drought got so bad that the animals themselves have nothing to eat or drink. https://t.co/Awo3H4saTh	2022-04-03T23:40:27.000Z	{'retweet_count': 1, 'reply_count': 1, 'like_count': 8, 'quote_count': 0}		[]	[]	[]	[]
"Kenia + Somalia + Ethiopia: #crisis.

 Hunger in East Africa - The New York Times https://t.co/ZUxiovLE0S"	2022-04-03T22:05:35.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}		[]	[]	[]	[]
