text	public_metrics	created_at	Google_Translation	@	names	places	village	region	district
waa marqaati nool oo cadeynaya xil. Cabdicasiis Laftagareen oo u dabaaldegaya faraxada qaadashada shahaadadii Xildhibaanimo ee baarlamaamkii 10aad, isaga oo ka guddoomaya mudane Siciid Jamac Qoorsheel oo markaas ahaa xubin ka mid ah guddigii doorashooyinka ee FEIT ee 2016-kii. https://t.co/GcySNqq2vp	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T10:21:17.000Z	he is a living witness to a duty. Abdiaziz Laftagareen celebrates his graduation as a Member of Parliament for the 10th Parliament, in the presence of Mr. Said Jama Qorsheel, then a member of the 2016 FEIT Electoral Commission. https://t.co/GcySNqq2vp	[]	['Abdiaziz Laftagareen', 'Said Jama Qorsheel', 'Jama Qorsheel']	[]	[]	[]	[]
Guddoomiyaha Guddiga Hirgelinta Doorashooyinka Heer Federaal ee FEITMuuse Geelle Yuusuf ayaa ka warbixiyay howlaha shahaado bixinta halka ay umareyso iyo tiradii xildhibaanada labada aqal ee qaatay. https://t.co/XxvBbaBDvs	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T09:33:41.000Z	FEIT Federal Electoral Implementation Committee Chairman Muse Guelleh Yusuf reported on the progress of the certification process and the number of members in both houses. https://t.co/XxvBbaBDvs	[]	['Muse Guelleh']	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka heer Federaal ee FEIT ayaa maalinkii labaad magaalada Muqdisho ka wado bixinta shahaadooyinka xild…	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T09:30:06.000Z	RT @GoobjoogNews: The Federal Electoral Commission (FEIT) is in Mogadishu for the second day in a row bixinta	['@GoobjoogNews:']	[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
"RT @horufadhi_media: Wararkii Ugu Danbeeyey: 

Guddiga doorashooyinka heer Federaal ayaa weli Magaalada Muqdisho ka wada bixinta shahaado s…"	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T08:41:41.000Z	RT @horufadhi_media: Latest News:. . The Federal Electoral Commission (FEC) is still issuing certificates in Mogadishu.	['@horufadhi_media:']	[]	[]	['Mogadishu']	['Banadir']	['Banadir']
"RT @horufadhi_media: Wararkii Ugu Danbeeyey: 

Guddiga doorashooyinka heer Federaal ayaa weli Magaalada Muqdisho ka wada bixinta shahaado s…"	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T08:39:52.000Z	RT @horufadhi_media: Latest News:. . The Federal Electoral Commission (FEC) is still issuing certificates in Mogadishu.	['@horufadhi_media:']	[]	[]	['Mogadishu']	['Banadir']	['Banadir']
"Wararkii Ugu Danbeeyey: 

Guddiga doorashooyinka heer Federaal ayaa weli Magaalada Muqdisho ka wada bixinta shahaado siinta Xildhibaanada cusub. 

Sheekh Aadan Maxamed Nuur (Aadan Madoobe) ayaa noqday Xildhibaankii ugu horreeyay ee kasoo jeeda Koonfur Galbeed ee qaatay shahaadada https://t.co/4FSOsuZ3Gc"	{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}	2022-04-03T08:39:32.000Z	Latest News: . The Federal Electoral Commission (FEC) is still issuing certificates to new parliamentarians in Mogadishu. . . Sheikh Adan Mohamed Nur (Adan Madobe). becomes first South West MP to graduate https://t.co/4FSOsuZ3Gc	[]	['Adan Mohamed', 'Adan Madobe']	[]	['Mogadishu', 'Sheikh']	['Togdheer', 'Banadir']	['Sheikh', 'Banadir']
"@MohamoudGaildon @AbdiwahabSheik7 @SaidAbdullahiDe @PresidentMadobe Waa kaa caqli badan yahay gudoomiyaha , gudiga doorashooyinka 
Mr geeldoon , hadaad somali ka naxeyso , halkaa ma aadan fadhideen ,
Abaaraha iyo dhibaatada sanaag ka taagan waxba qabo ,    adiga iyo Jamaal 
     Dhoobodaared gaar u tashada"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T08:29:03.000Z	@MohamoudGaildon @ AbdiwahabSheik7 @SaidAbdullahiDe @PresidentMadobe You are smarter than the chairman, the electoral commission. Mr Geeldoon, if you are worried about Somalis, you are not sitting there. Drought and the crisis in Sanaag do nothing, you and Jamaal. Clay for personal use	['@MohamoudGaildon', '@AbdiwahabSheik7', '@SaidAbdullahiDe', '@PresidentMadobe']	[]	[]	['Sanaag']	['Sanaag', 'Nugaal']	['Burtinle']
"Gudoomiyihii hore ee Baarlamaanka #somalia Sheekh Adan (Madoobe) oo  ah Musharrax utaagan xilka Gudoomiyaha Baarlamaanka #2022 #2025 ayaa noqdey Xildhibaankii ugu horeeyey ee kasoo jeedo KG oo qaata Shahaadada Gudiga Doorashooyinka xeer qaran   ee FEIT.
 @Muhamedsarmani https://t.co/y22TqJ3oJj"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	2022-04-03T07:35:14.000Z	Former Speaker of the #Somalia Parliament Sheikh Adan (Madobe). Candidate for Speaker of Parliament # 2022 # 2025 becomes the first MP from KG to receive the FEIT National Electoral Certificate .. @Muhamedsarmani https://t.co/y22TqJ3oJj	['@Muhamedsarmani']	[]	[]	['Sheikh']	['Togdheer']	['Sheikh']
Soomaalidii ugu badneyd oo kusoo baxday doorashooyinka golaha deegaanka ee dalka Holland Tiradii ugu badnayd oo ah Somalida deggan dalkaas Holland ayaa kusoo baxay kuraasta goleyaasha deegaanka kadib doorashadii dhacdey asbuucan, iyada oo xisbiyada Green… https://t.co/2HlMn1TdVL	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T07:22:32.000Z	Majority of Somalis in Dutch local council elections The largest number of Somalis in the Netherlands have won seats in local councils following this week&#39;s election, with the Green Party… https://t.co/2HlMn1TdVL	[]	[]	['Netherlands']	[]	[]	[]
Soomaalidii ugu badneyd oo mar kaliya loo doorto golaha deegaanka ee doorashooyinka dalka Holland  https://t.co/hiLxCqxnmN	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T07:22:31.000Z	Majority of Somalis elected to local council in Dutch elections https://t.co/hiLxCqxnmN	[]	[]	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka heer Federaal ee FEIT ayaa maalinkii labaad magaalada Muqdisho ka wado bixinta shahaadooyinka xild…	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T06:53:59.000Z	RT @GoobjoogNews: The Federal Electoral Commission (FEIT) is in Mogadishu for the second day in a row bixinta	['@GoobjoogNews:']	[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
"Guddiga doorashooyinka heer Federaal ee FEIT ayaa maalinkii labaad magaalada Muqdisho ka wado bixinta shahaadooyinka xildhibaanada baarlamaanka 11-aad.
Mas'uulliyiin uu kamid yahay xildhibaan Sheekh Aadan Madoobe ayaa saaka qaatay shahaadooyinkooda. https://t.co/4x0xY6r5va"	{'retweet_count': 3, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}	2022-04-03T06:51:23.000Z	The Federal Electoral Commission (FEIT) has been issuing certificates for the second day in Mogadishu. https://t.co/4x0xY6r5va	[]	[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
Soomaalidii ugu badneyd oo kusoo baxday doorashooyinka golaha deegaanka ee dalka Holland https://t.co/3RWI5yRYo5	{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}	2022-04-03T05:30:33.000Z	Majority of Somalis in Dutch local council elections https://t.co/3RWI5yRYo5	[]	[]	[]	[]	[]	[]
RT @OAbraar: Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54…	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T22:39:07.000Z	RT @OAbraar: Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 xildhibaan	['@OAbraar:', '@Doorashada2021']	[]	[]	[]	[]	[]
Guddiga Doorashooyinka heer Federaal ee Soomaaliya ayaa maanta bilaabaya Bixinta ShaHaadada https://t.co/XhcpDGecOj	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T19:42:15.000Z	The Federal Electoral Commission of Somalia will today begin issuing Certificates https://t.co/XhcpDGecOj	[]	[]	[]	[]	[]	[]
Guddiga Doorashooyinka Qaranka hasii wadaan dhamistirka doorashada inkastoo Farmaajo uu ka shaqaynayo sidii aanay doorashadda Madaxweynaha dalka uga dhaci lahayn, wuxuna wadaa beegsi iyo shirqoollo dilal ah oo la doonayo siyaasiyinta mucaaradka ah. https://t.co/zfAnz0w8Lo	{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}	2022-04-02T18:53:06.000Z	The National Electoral Commission (NEC) continues to finalize the election despite Farmajo&#39;s efforts to prevent the presidential election from taking place, and he has been carrying out targeted killings and conspiracies against opposition politicians. https://t.co/zfAnz0w8Lo	[]	[]	[]	[]	[]	[]
Xildhibaan Mahad Salaad oo saakay qaatay shahaadada Xildhibaanimo oo ay bixinayeen guddiga doorashooyinka heer Federal ayaa bartiisa Facebook kusoo qoray cadeymo muujinaya in laga maarmi karo xildhibaanada ka socda dhanka Villa Soomaaliya ee diidan in shahaadada xildhibaanimo ay https://t.co/ODNnuhqVKV	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-02T18:31:48.000Z	Lawmaker Mahad Salad, who received his parliamentary degree this morning from the Federal Electoral Commission, posted on his Facebook page evidence that lawmakers from the Villa Somalia faction are refusing to accept their parliamentary degree https://t.co/ODNnuhqVKV	[]	['Mahad Salad']	['Villa', 'Somalia']	[]	[]	[]
Guddiga Hirgelinta Doorashooyinka Heer Federaal ( FEIT ) ayaa maanta bilaabay bixinta Shahaadada Xildhibaanimo  ee labada Gole ee Baarlamaanka 11-aad. https://t.co/Xw6YgPQULU	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:40:28.000Z	Federal Election Implementation Committee (FEIT). has today started issuing Certificates of Parliament for both Houses of the 11th Parliament. https://t.co/Xw6YgPQULU	[]	[]	[]	[]	[]	[]
Ra’iisul Wasaaraha XFS Maxamed Xuseen Rooble oo ayaa hambalyo u diray Guddiga Doorashooyinka Heer Federaal (FEIT) iyo guddoomiyehooda Muuse Geelle Yuusuf oo maanta bilaabay bixinta shahaadooyinka xildhibaannada la soo doortay ee baarlamaanka 11aad ee dalka. https://t.co/4j5vskQwUR	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:39:41.000Z	FGS Prime Minister Mohamed Hussein Roble congratulates the Federal Electoral Commission (FEIT). and their chairman Muse Guelleh Yusuf who today started issuing certificates to the elected members of the 11th parliament of the country. https://t.co/4j5vskQwUR	[]	['Mohamed Hussein', 'Muse Guelleh']	[]	[]	[]	[]
War-saxaafadeed kasoo baxay DG Koofur Galbeed Soomaaliya ayaa looga hadlay Mawqifkeeda ku aadan Doorashooyinka iyo Dhaarinta Xildhibaannada https://t.co/ns6Fr6UWNT	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:38:59.000Z	A statement from DG South West Somalia discusses its position on the elections and the swearing in of MPs https://t.co/ns6Fr6UWNT	[]	[]	[]	[]	[]	[]
RT @OAbraar: Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54…	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:35:45.000Z	RT @OAbraar: Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 xildhibaan	['@OAbraar:', '@Doorashada2021']	[]	[]	[]	[]	[]
RT @OAbraar: Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54…	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:26:39.000Z	RT @OAbraar: Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 xildhibaan	['@OAbraar:', '@Doorashada2021']	[]	[]	[]	[]	[]
RT @OAbraar: Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54…	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:22:52.000Z	RT @OAbraar: Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 xildhibaan	['@OAbraar:', '@Doorashada2021']	[]	[]	[]	[]	[]
Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54 Xildhibaan &amp; Senators oo aaday Xoghayeyaasha Golaha Shacabka &amp; Aqalka Sare ee Baarlamaanka 11aad ee Federaalka Dalka Somaliya https://t.co/CHAReY8hKB	{'retweet_count': 4, 'reply_count': 0, 'like_count': 6, 'quote_count': 1}	2022-04-02T14:19:16.000Z	Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 MPs &amp;. Senators go to Parliamentary Secretaries &amp;. Upper House of the 11th Federal Parliament of Somalia https://t.co/CHAReY8hKB	['@Doorashada2021']	[]	[]	[]	[]	[]
Koonfur Galbeed oo kalsoonidii kala laabatay guddiga hirgelinta doorashooyinka heer federaal https://t.co/4mkFWYB3Xo	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T14:09:18.000Z	South West loses confidence in Federal Election Implementation Committee https://t.co/4mkFWYB3Xo	[]	[]	[]	[]	[]	[]
Dawlada federalka ayaa ka sugaynaa in ay ka fal celiso gudiga doorashooyinka   arinta ay ku dhaqaaqeen. Villa Somalia  maxeey la aamusan tahay. Beesha caalamka raisul wasaraha iyo mucaaradka  ayaa u muuqda hadda kuwa guul gaaray  howshana ay  u socoto  sida ayaga rabeen.	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	2022-04-02T13:11:22.000Z	We are waiting for the federal government to respond to the election commission. Why is Villa Somalia silent? The international community, the prime minister and the opposition, now appear to have succeeded and the process is on track.	[]	[]	[]	[]	[]	[]
RT @Sacadfaarah: Degdeg: Madaxweyne Cali Guudlaawe “Hirshabeele waxay gudida doorashooyinka heer Federal u gudbisay Xildhibaanadii kasoo ba…	{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T12:31:29.000Z	RT @Sacadfaarah: Urgent: President Ali Gudlawe “Hirshabeele submits to the Federal Electoral Commission	['@Sacadfaarah:']	['Ali Gudlawe']	[]	[]	[]	[]
Guddiga Hirgelinta Doorashooyinka Heer Federaal ayaa maanta bilaabay bixinta shahaadada Xubnaha Labada Aqal ee Baarlamaanka 11aad, iyadoo illaa hadda ay qaateen Xildhibaannada iyo Senatarada ka soo jeeda Hirshabelle, Jubbaland, Galmudug, Gobolada Waqooyi iyo Banaadiriga https://t.co/RkAxBtsSTT	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T11:09:45.000Z	The Federal Electoral Commission (FEC) has today started issuing certificates to members of both houses of the 11th Parliament, with MPs and Senators from HirShabelle, Jubbaland, Galmudug, Northern and Benadir Regions receiving https://t.co/RkAxBtsSTT	[]	[]	['Jubbaland', 'Galmudug', 'Benadir']	[]	['Jubbaland']	[]
RT @GoobjoogNews: Guddiga doorashooyinka heer federaal ee FEIT ayaa saaka oo sabti ah bilaabay bixinta shahaadooyinka xildhibaanada labada…	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T10:57:40.000Z	RT @GoobjoogNews: The Federal Electoral Commission (FEIT) on Saturday morning began issuing certificates to the two parliamentarians…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
Sabti, April, 02, 2022 (HOL) - Madaxtooyada maamulka Hirshabeelle oo war kasoo saartay go'aankii guddiga doorashooyinka heer Fedaraal ee FEIT ay kaga reebeen kursiga tirsigiisu yahay HOP 086 tirada Xidhibaanadda cusub, kaasoo ay sheegeen maamulka Hirshabeelle inuu ka mid yahay https://t.co/NEpsBkvONM	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-02T10:17:25.000Z	Saturday, April, 02, 2022 (HOL). - The presidency of the Hirshabelle administration announces the decision of the Federal Electoral Commission (FEIT) to exclude HOP 086 from the new parliament, which the Hirshabelle administration says includes https://t.co/NEpsBkvONM	[]	[]	[]	[]	[]	[]
